"Extension","Count"
".js","1274"
".ts","1115"
".map","1086"
".md","281"
".json","257"
"","180"
".yml","38"
".glb","28"
".bare","26"
".eslintrc","22"
".mjs","18"
".nycrc","16"
".ps1","10"
".cmd","10"
".txt","9"
".png","7"
".editorconfig","6"
".cjs","6"
".markdown","5"
".npmignore","5"
".xml","5"
".html","4"
".coffee","4"
".BSD","4"
".jshintrc","3"
".c","3"
".pdl","2"
".tmpl","2"
".mts","2"
".yaml","2"
".MIT","1"
".APACHE2","1"
".css","1"
".gitattributes","1"
".iml","1"
".cts","1"
".bnf","1"
".browser","1"
